ids,locales,prices,bedrooms,sqft,dates,titles,data.latitude,data.longitude,data.accuracy,links,north,north_work
7142329499," (Sandy, UT)",1151,2,890,2020-06-21 18:41,"Playground, Open Floorplan, Huge Master Closet",40.546647,-111.890912,5,https://saltlakecity.craigslist.org/apa/d/sandy-playground-open-floorplan-huge/7142329499.html,0.0671549999999996,3.55921499999998
7137375713,,750,1,,2020-06-21 17:28,Includes utilities! Completely furnished and private in-law apartment,40.6772,-111.8133,22,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-includes-utilities/7137375713.html,0.144767000000002,7.67265100000009
7137373556,,750,1,,2020-06-21 17:27,Includes utilities! Completely furnished and private in-law apartment,40.6772,-111.8133,22,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-includes-utilities/7137373556.html,0.144767000000002,7.67265100000009
7130185946,,1200,1,748,2020-06-21 15:43,"Resident Clubhouse, Designer Finishes and Accents, Garages Available",40.607918,-111.914803,5,https://saltlakecity.craigslist.org/apa/d/midvale-resident-clubhouse-designer/7130185946.html,0.0432639999999935,2.29299199999966
7145906659, (Salt Lake City),1175,1,900,2020-06-21 14:07,Shabby Duplex in Sketchy Neighborhood,40.7499,-111.926,22,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-shabby-duplex-in-sketchy/7145906659.html,0.0320669999999978,1.69955099999989
7142173041, (West Jordan),972,1,614,2020-06-21 13:40,"Painted Accent Walls (in select units), Sport Court, On Site Day Care",40.609247,-111.971596,5,https://saltlakecity.craigslist.org/apa/d/west-jordan-painted-accent-walls-in/7142173041.html,-0.0135290000000055,-0.717037000000289
7131510840,,1200,1,748,2020-06-21 13:35,"Air Conditioning & Heating, Fitness Center & Yoga Studio, Playground",40.607918,-111.914803,5,https://saltlakecity.craigslist.org/apa/d/midvale-air-conditioning-heating/7131510840.html,0.0432639999999935,2.29299199999966
7137000620,,800,1,720,2020-06-21 12:48,Very neat one bedroom apartment available for lease now!,40.7043,-111.8142,22,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-very-neat-one-bedroom/7137000620.html,0.143867,7.62495100000001
7129916373," (Bountiful, UT)",1400,1,900,2020-06-21 12:41,Studio Bedroom 1 Bath FoxHollows Suite in beautiful Bountiful,40.8775,-111.8727,22,https://saltlakecity.craigslist.org/apa/d/bountiful-studio-bedroom-1-bath/7129916373.html,0.0853670000000051,4.52445100000027
7129858260," (Salt Lake City, UT)",1300,1,550,2020-06-21 12:41,"Best price, best value, super convenient Downtown Getaway",40.7548,-111.881,22,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-best-price-best-value/7129858260.html,0.0770669999999996,4.08455099999998
7143472080," (Sandy, UT)",1241,2,956,2020-06-21 12:34,"Racquetball Court, 8-Ft Ceilings, Walk-In Closet(s)",40.546647,-111.890912,5,https://saltlakecity.craigslist.org/apa/d/sandy-racquetball-court-8-ft-ceilings/7143472080.html,0.0671549999999996,3.55921499999998
7143082008, (West Jordan),972,1,614,2020-06-21 11:39,"Fireplace in Living Room (in select units), Sport Court, Playground",40.609247,-111.971596,5,https://saltlakecity.craigslist.org/apa/d/west-jordan-fireplace-in-living-room-in/7143082008.html,-0.0135290000000055,-0.717037000000289
7142660772,,750,1,720,2020-06-21 10:39,Nicely Upgraded Suite,40.7043,-111.8142,22,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-nicely-upgraded-suite/7142660772.html,0.143867,7.62495100000001
7145799439, (UT),700,2,1200,2020-06-21 10:34,"150 S 800 W Salt Lake City,",40.765634,-111.913593,10,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-salt-lake-city/7145799439.html,0.0444739999999939,2.35712199999968
7144621089," (Sandy, UT)",1241,2,956,2020-06-21 10:33,"Fitness Center, Open Floorplan, In Unit Washer and Dryer",40.546647,-111.890912,5,https://saltlakecity.craigslist.org/apa/d/sandy-fitness-center-open-floorplan-in/7144621089.html,0.0671549999999996,3.55921499999998
7137330188,,800,1,720,2020-06-21 09:51,Very neat one bedroom apartment available for lease now!,40.7043,-111.8142,22,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-very-neat-one-bedroom/7137330188.html,0.143867,7.62495100000001
7141273720," (Salt Lake City, UT)",1080,2,,2020-06-21 09:27,and it's just blocks to the University of Utah,40.764646,-111.870482,10,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-and-its-just-blocks-to/7141273720.html,0.0875850000000042,4.64200500000023
7139942578, (s),1151,2,890,2020-06-21 08:32,"Pet Friendly, Walk-In Closet in Master, In Unit Washer  & Dryer",40.546647,-111.890912,5,https://saltlakecity.craigslist.org/apa/d/sandy-pet-friendly-walk-in-closet-in/7139942578.html,0.0671549999999996,3.55921499999998
7145688093," (Salt Lake City, UT)",775,1,,2020-06-21 06:55,>>>All utilities are included in your monthly rent of 775.>>,40.7776,-111.8749,22,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-all-utilities-are/7145688093.html,0.0831670000000031,4.40785100000016
7131337969,,1200,1,748,2020-06-21 05:08,"Poolside Lounge & Cabanas, Fitness Center & Yoga Studio, Playground",40.607918,-111.914803,5,https://saltlakecity.craigslist.org/apa/d/midvale-poolside-lounge-cabanas-fitness/7131337969.html,0.0432639999999935,2.29299199999966
7142961016," (Sandy, UT)",1241,2,956,2020-06-21 02:18,"Private Patio or Balcony, Covered Parking Included, Fitness Center",40.546647,-111.890912,5,https://saltlakecity.craigslist.org/apa/d/sandy-private-patio-or-balcony-covered/7142961016.html,0.0671549999999996,3.55921499999998
7134820191, (West Jordan),972,1,614,2020-06-21 01:17,"Community Laundry Facility, Easy Online Rent Payments, Covered Parking",40.609247,-111.971596,5,https://saltlakecity.craigslist.org/apa/d/west-jordan-community-laundry-facility/7134820191.html,-0.0135290000000055,-0.717037000000289
7140516718," (Sandy, UT)",1151,2,890,2020-06-21 00:17,"When Minutes Matter, Live Where You Work and Play.",40.546647,-111.890912,5,https://saltlakecity.craigslist.org/apa/d/sandy-when-minutes-matter-live-where/7140516718.html,0.0671549999999996,3.55921499999998
7138321756, (West Jordan),972,1,614,2020-06-20 23:11,"Fabulous 1Bd, Private Patio, Pet Friendly",40.609247,-111.971596,5,https://saltlakecity.craigslist.org/apa/d/west-jordan-fabulous-1bd-private-patio/7138321756.html,-0.0135290000000055,-0.717037000000289
7140781930, (Midvale),1540,2,1182,2020-06-20 21:41,Apply for your AMAZING new home today!,40.6152,-111.8851,5,https://saltlakecity.craigslist.org/apa/d/midvale-apply-for-your-amazing-new-home/7140781930.html,0.0729670000000056,3.86725100000029
7140791193, (West Jordan),1237,2,896,2020-06-20 21:05,"Pet Friendly with Community Dog Park, Exterior Storage, Sport Court",40.609247,-111.971596,5,https://saltlakecity.craigslist.org/apa/d/west-jordan-pet-friendly-with-community/7140791193.html,-0.0135290000000055,-0.717037000000289
7140623372," (Sandy, UT)",1241,2,956,2020-06-20 20:10,"Racquetball Court, Modern 1, 2 and 3 Bedroom Floor Plans, Tennis Court",40.546647,-111.890912,5,https://saltlakecity.craigslist.org/apa/d/sandy-racquetball-court-modern-1-2-and/7140623372.html,0.0671549999999996,3.55921499999998
7145536740, (3851 W Cobble Ridge),1349,2,860,2020-06-20 18:19,$300 off immediate move in! Call us today!,40.6254,-111.9677,22,https://saltlakecity.craigslist.org/apa/d/west-jordan-300-off-immediate-move-in/7145536740.html,-0.00963299999999379,-0.510548999999671
7144313561," (Sandy, UT)",1006,1,708,2020-06-20 18:06,"Commuter Friendly, In Unit Washer & Dryer, Covered Parking Included",40.546647,-111.890912,5,https://saltlakecity.craigslist.org/apa/d/sandy-commuter-friendly-in-unit-washer/7144313561.html,0.0671549999999996,3.55921499999998
7145495081, (Salt lake City),1381,1,882,2020-06-20 17:38,Great Views in this 1-Bedroom 1.5 Bath!,40.7559,-111.8967,22,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-great-views-in-this-1/7145495081.html,0.0613670000000042,3.25245100000022
7145533198,,1220,1,710,2020-06-20 17:11,"Brand new! Hot tub and Swimming Pool, Theater Room, Retro Game Room",40.6568,-111.8904,22,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-brand-new-hot-tub-and/7145533198.html,0.0676670000000001,3.58635100000001
7145521426, (SLC),849,1,418,2020-06-20 17:02,You will fall in Love with this bedroom!,40.6596,-111.9193,22,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-you-will-fall-in-love/7145521426.html,0.0387669999999929,2.05465099999962
7128724091," (Capitol Hill, Salt Lake, Avenues, U of U)",1220,2,850,2020-06-20 16:53,*OPEN HOUSE DAILY* Classy Capitol Hill 2BR + Big View Balcony,40.779948,-111.892834,5,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-open-house-daily-classy/7128724091.html,0.0652330000000063,3.45734900000033
7145489821, (West Jordan),1219,2,1065,2020-06-20 16:32,Top Floor Roommate Style Apartment!!!,40.582664,-112.044411,5,https://saltlakecity.craigslist.org/apa/d/west-jordan-top-floor-roommate-style/7145489821.html,-0.0863439999999969,-4.57623199999983
7145492630,,1364,2,1223,2020-06-20 16:23,"Gourmet Kitchens with Prep Islands and Pantry, Elevator Access",40.5959,-111.9644,22,https://saltlakecity.craigslist.org/apa/d/west-jordan-gourmet-kitchens-with-prep/7145492630.html,-0.00633299999999792,-0.33564899999989
7145509255, (950 North Cutler Drive),1100,1,824,2020-06-20 16:23,You and your pets will love it here,40.8446,-111.9191,22,https://saltlakecity.craigslist.org/apa/d/north-salt-lake-you-and-your-pets-will/7145509255.html,0.0389669999999995,2.06525099999998
7145505442,,1490,1,733,2020-06-20 16:15,1 bedroom with beautiful view!,40.7548,-111.881,22,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-1-bedroom-with-beautiful/7145505442.html,0.0770669999999996,4.08455099999998
7145501873, (Sandy),1045,1,640,2020-06-20 16:09,Pet-friendly 1 bed / 1 bath! Your dogs and cats are welcome!,40.573048,-111.884767,20,https://saltlakecity.craigslist.org/apa/d/sandy-pet-friendly-1-bed-1-bath-your/7145501873.html,0.0733000000000033,3.88490000000017
7145497189, (Salt Lake City),1121,2,850,2020-06-20 16:00,2 bedroom 2 bath apartment home! GOING FAST RESERVE TODAY!!,40.733018,-111.93469,10,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-2-bedroom-2-bath/7145497189.html,0.0233769999999964,1.23898099999981
7145494198, (Midvale),975,2,825,2020-06-20 15:54,"BBQs, Fire Pits & a Low Rate Apartment Move-In Ready! $300 Off TODAY!",40.6152,-111.8851,22,https://saltlakecity.craigslist.org/apa/d/midvale-bbqs-fire-pits-low-rate/7145494198.html,0.0729670000000056,3.86725100000029
7144225256," (Sandy, UT)",1241,2,956,2020-06-20 15:54,"Jogging/Walking Path Surrounding Property,Tennis, Playground",40.546647,-111.890912,5,https://saltlakecity.craigslist.org/apa/d/sandy-jogging-walking-path-surrounding/7144225256.html,0.0671549999999996,3.55921499999998
7145493006, (Salt Lake City),1459,2,883,2020-06-20 15:52,"Billiards Table, Private Balcony/Patio, On-Site Management",40.725646,-111.857754,10,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-billiards-table-private/7145493006.html,0.100313,5.31658899999999
7145482073, (Taylorsville),1160,2,980,2020-06-20 15:46,"Beautiful, Convenient Location, 2 Bedroom 2 Bathroom With Pools!!!",40.666666,-111.933103,10,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-beautiful-convenient/7145482073.html,0.0249639999999971,1.32309199999985
7145439344, (Salt lake City),2090,2,1191,2020-06-20 15:44,1-Month Free Luxury 2-Bedroom!,40.7559,-111.8967,22,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-1-month-free-luxury-2/7145439344.html,0.0613670000000042,3.25245100000022
7145482653, (Salt Lake City),1439,2,1092,2020-06-20 15:34,"Sit Back, Relax. Your New Apartment Awaits. $200 off July's Rent!",40.7559,-111.8967,22,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-sit-back-relax-your-new/7145482653.html,0.0613670000000042,3.25245100000022
7145480233,,3155,1,1439,2020-06-20 15:29,Work from home in our Live/Work apartments!,40.7548,-111.881,22,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-work-from-home-in-our/7145480233.html,0.0770669999999996,4.08455099999998
7145471161, (Salt Lake City),1200,1,680,2020-06-20 15:14,Did you Say Free Rent??  Apply today 1 month Free,40.689028,-111.894507,5,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-did-you-say-free-rent/7145471161.html,0.0635599999999954,3.36867999999976
7145468874,,1107,2,1005,2020-06-20 15:10,"Submit Service Requests Online, In Home Washer and Dryer, Courtyard",40.6152,-111.8851,5,https://saltlakecity.craigslist.org/apa/d/midvale-submit-service-requests-online/7145468874.html,0.0729670000000056,3.86725100000029
7145468778, (Salt Lake City),1277,2,877,2020-06-20 15:10,Summer Special! $500 Off!,40.79469,-111.939133,10,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-summer-special-500-off/7145468778.html,0.0189340000000016,1.00350200000008
7145467914,,1122,1,759,2020-06-20 15:09,"Reserved covered parking, Garbage disposal, Fitness center",40.6596,-111.9193,22,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-reserved-covered-parking/7145467914.html,0.0387669999999929,2.05465099999962
7145428953, (Bluffdale),1275,1,785,2020-06-20 15:08,"Smart Home System, LED Lighting and Modern Finishes! Apply today!",40.474519,-111.91294,5,https://saltlakecity.craigslist.org/apa/d/draper-smart-home-system-led-lighting/7145428953.html,0.0451269999999937,2.39173099999967
7145453704, (Salt Lake City),1409,2,1038,2020-06-20 15:06,Find Your New Home at Palladio! $200 Off July's Rent!,40.7559,-111.8967,22,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-find-your-new-home-at/7145453704.html,0.0613670000000042,3.25245100000022
7142967995, (West Jordan),972,1,614,2020-06-20 14:58,"Energy Efficient Whirlpool Appliances, Exterior Storage, Playground",40.609247,-111.971596,5,https://saltlakecity.craigslist.org/apa/d/west-jordan-energy-efficient-whirlpool/7142967995.html,-0.0135290000000055,-0.717037000000289
7145460233, (West Valley),989,1,731,2020-06-20 14:57,"Easy Freeway Access, Hot Tub, Swimming Pool, Laundry Facility, View",40.6916,-112.0011,22,https://saltlakecity.craigslist.org/apa/d/west-valley-city-easy-freeway-access/7145460233.html,-0.0430329999999941,-2.28074899999969
7145456712,,1124,1,716,2020-06-20 14:51,"Plush Carpeting, Spacious Floor Plans, Sparkling Resort Style Pool",40.5046,-111.881,22,https://saltlakecity.craigslist.org/apa/d/draper-plush-carpeting-spacious-floor/7145456712.html,0.0770669999999996,4.08455099999998
7145451569, (West Jordan),809,1,456,2020-06-20 14:43,"Fantastic neighborhood! Studio with washer/dryer,  extra storage, etc",40.6254,-111.9677,22,https://saltlakecity.craigslist.org/apa/d/west-jordan-fantastic-neighborhood/7145451569.html,-0.00963299999999379,-0.510548999999671
7145451432,,1467,2,1108,2020-06-20 14:43,"Never been lived in! UTA Eco Pass, On-Site Maintenance,",40.6568,-111.8904,22,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-never-been-lived-in-uta/7145451432.html,0.0676670000000001,3.58635100000001
7145416372, (West Jordan),979,1,795,2020-06-20 14:25,Picnic and BBQ Areas,40.582723,-112.044239,5,https://saltlakecity.craigslist.org/apa/d/west-jordan-picnic-and-bbq-areas/7145416372.html,-0.0861720000000048,-4.56711600000025
7145437547, (Midvale),1169,2,960,2020-06-20 14:21,PRE LEASE TODAY RECEIVE $850 OFF!!,40.6152,-111.8851,22,https://saltlakecity.craigslist.org/apa/d/midvale-pre-lease-today-receive-850-off/7145437547.html,0.0729670000000056,3.86725100000029
7145435952,,1069,1,,2020-06-20 14:19,FINALLY! A 1 Bedroom With Room For All Your Needs. Lease Today!,40.629744,-111.830521,5,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-finally-1-bedroom-with/7145435952.html,0.127545999999995,6.75993799999975
7145432110, (Salt Lake City),1010,1,700,2020-06-20 14:13,"Convenient Location, King Size Bedrooms, Built In Bookshelves",40.687613,-111.914506,10,https://saltlakecity.craigslist.org/apa/d/west-valley-city-convenient-location/7145432110.html,0.0435609999999969,2.30873299999983
7135440919,,1529,2,1135,2020-06-20 14:09,Cutting Edge Luxury,40.5144,-112.0325,5,https://saltlakecity.craigslist.org/apa/d/herriman-cutting-edge-luxury/7135440919.html,-0.0744329999999991,-3.94494899999995
7145425814, (950 North Cutler Drive),1349,2,1075,2020-06-20 14:03,Fabulous 2 bedroom apartment homes,40.8446,-111.9191,22,https://saltlakecity.craigslist.org/apa/d/north-salt-lake-fabulous-2-bedroom/7145425814.html,0.0389669999999995,2.06525099999998
7145417894, (Downtown SLC),1130,1,839,2020-06-20 14:03,1 Bed / 1 Bath. We welcome your pets! Ask about our pet policy!,40.769841,-111.909184,5,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-1-bed-1-bath-we-welcome/7145417894.html,0.0488830000000036,2.59079900000019
7145409924, (Downtown Salt Lake City),1630,1,685,2020-06-20 13:54,"Fantastic neighborhood! Great 1 bed, 1 bath, 685 Sq Ft!",40.7548,-111.881,22,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-fantastic-neighborhood/7145409924.html,0.0770669999999996,4.08455099999998
7145402433,,1107,2,1005,2020-06-20 13:54,"Sparkling Pool, Resident Events and Activities, Fitness Center",40.6152,-111.8851,5,https://saltlakecity.craigslist.org/apa/d/midvale-sparkling-pool-resident-events/7145402433.html,0.0729670000000056,3.86725100000029
7145418621,,939,1,500,2020-06-20 13:52,$499 move in! W/D in unit!,40.6596,-111.9193,22,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-499-move-in-d-in-unit/7145418621.html,0.0387669999999929,2.05465099999962
7145411533, (Midvale),799,1,418,2020-06-20 13:48,$799 Midvale! Wasatch Club Apartments!,40.6152,-111.8851,22,https://saltlakecity.craigslist.org/apa/d/midvale-799-midvale-wasatch-club/7145411533.html,0.0729670000000056,3.86725100000029
7145412522, (Midvale),975,2,825,2020-06-20 13:43,"Happy Life, Happy Home ~ Move In TODAY! Low Rate & $300 Off NOW!",40.6152,-111.8851,22,https://saltlakecity.craigslist.org/apa/d/midvale-happy-life-happy-home-move-in/7145412522.html,0.0729670000000056,3.86725100000029
7141080550, (Salt lake City),1790,1,882,2020-06-20 13:37,Luxury 1-Bed Townhome Downtown!,40.7559,-111.8967,22,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-luxury-1-bed-townhome/7141080550.html,0.0613670000000042,3.25245100000022
7145406826,,1395,2,1047,2020-06-20 13:35,Edison Apartment: 2-Bed|2-Bath!,40.5834,-111.7467,22,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-edison-apartment-2-bed2/7145406826.html,0.211366999999996,11.2024509999998
7140452480, (Midvale),1299,2,1010,2020-06-20 13:28,Ready For You To Move In NOW!,40.6152,-111.8851,22,https://saltlakecity.craigslist.org/apa/d/midvale-ready-for-you-to-move-in-now/7140452480.html,0.0729670000000056,3.86725100000029
7145402079, (Salt Lake City),1150,1,680,2020-06-20 13:27,"Location, Location, Location! Close To Downtown SLC, TRAX, and I-15!",40.689028,-111.894593,5,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-location-location/7145402079.html,0.0634739999999994,3.36412199999997
7142088826,,750,1,720,2020-06-20 13:21,Very neat one bedroom apartment available for lease now!,40.7043,-111.8142,22,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-very-neat-one-bedroom/7142088826.html,0.143867,7.62495100000001
7145397659," (Murray, Cottonwood)",1335,2,990,2020-06-20 13:21,2 Months FREE Rent!! Lease today! Call To Schedule Your Virtual Tour,40.655698,-111.853714,10,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-2-months-free-rent-lease/7145397659.html,0.104353000000003,5.53070900000017
7145389701, (Salt Lake City),1084,2,800,2020-06-20 13:09,Move in & get $500 off next months rent!,40.79469,-111.939133,10,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-move-in-get-500-off-next/7145389701.html,0.0189340000000016,1.00350200000008
7145386874," (Salt Lake City, UT)",1011,1,540,2020-06-20 13:05,Beautiful 1x1 Apartment with state of the art FITNESS CENTER!,40.6568,-111.8904,22,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-beautiful-1x1-apartment/7145386874.html,0.0676670000000001,3.58635100000001
7145370126,,1345,2,956,2020-06-20 12:41,Lincoln Apartment: 2-Bed|2-Bath!,40.5834,-111.7467,22,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-lincoln-apartment-2-bed2/7145370126.html,0.211366999999996,11.2024509999998
7145354642, (Salt Lake City),1439,2,1038,2020-06-20 12:41,Fall in Love with Your New View! $200 Off July's Rent!,40.7559,-111.8967,22,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-fall-in-love-with-your/7145354642.html,0.0613670000000042,3.25245100000022
7145366465,,1305,2,854,2020-06-20 12:36,"Hardwood Flooring, Granite Counters, Playground, Clubhouse, Hot Tub",40.5144,-112.0325,22,https://saltlakecity.craigslist.org/apa/d/herriman-hardwood-flooring-granite/7145366465.html,-0.0744329999999991,-3.94494899999995
7145364714, (Salt Lake City),1629,2,1156,2020-06-20 12:34,"Sparkling Outdoor Pool, Large Energy-Efficient Windows, Ceiling Fans",40.725646,-111.857754,10,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-sparkling-outdoor-pool/7145364714.html,0.100313,5.31658899999999
7145357493, (Herriman),1125,1,932,2020-06-20 12:32,Beautiful 1 Bed 1 Bath Available Now!,40.5144,-112.0325,22,https://saltlakecity.craigslist.org/apa/d/herriman-beautiful-1-bed-1-bath/7145357493.html,-0.0744329999999991,-3.94494899999995
7145342804, (West Jordan),1210,2,1033,2020-06-20 12:31,$299 MOVES YOU IN!!!,40.582729,-112.044239,5,https://saltlakecity.craigslist.org/apa/d/west-jordan-299-moves-you-in/7145342804.html,-0.0861720000000048,-4.56711600000025
7145296504, (Salt lake City),1790,1,882,2020-06-20 12:21,1-Bedroom with Loft Vibes and Garage,40.7559,-111.8967,22,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-1-bedroom-with-loft/7145296504.html,0.0613670000000042,3.25245100000022
7145340970,,1339,2,887,2020-06-20 12:19,"Sparkling Resort Style Pool, Full Size Outdoor Basketball Court",40.5046,-111.881,22,https://saltlakecity.craigslist.org/apa/d/draper-sparkling-resort-style-pool-full/7145340970.html,0.0770669999999996,4.08455099999998
7145351480,,1239,2,934,2020-06-20 12:16,"Beautiful Gourmet Kitchen, Oversized Closets, Fireplace & More",40.629635,-111.831336,5,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-beautiful-gourmet/7145351480.html,0.126731000000007,6.71674300000035
7145350605,,1057,1,686,2020-06-20 12:14,"Package receiving, Year-round spa, on-site laundry facility",40.6596,-111.9193,22,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-package-receiving-year/7145350605.html,0.0387669999999929,2.05465099999962
7145334330, (950 North Cutler Drive),1100,1,824,2020-06-20 11:53,"Stainless Steel Appliances, Granite Countertops, 9ft Ceilings",40.8446,-111.9191,22,https://saltlakecity.craigslist.org/apa/d/north-salt-lake-stainless-steel/7145334330.html,0.0389669999999995,2.06525099999998
7142813738," (Sandy, UT)",1151,2,890,2020-06-20 11:48,"Playground, Pool-Side BBQ Grilling Station, Walk-In Closet(s)",40.546647,-111.890912,5,https://saltlakecity.craigslist.org/apa/d/sandy-playground-pool-side-bbq-grilling/7142813738.html,0.0671549999999996,3.55921499999998
7145287859, (SALT LAKE CITY),1845,2,1235,2020-06-20 11:46,"2 Bedroom! Lowered Price, City Views, Walk In Closets and Huge Balcony",40.723546,-111.872156,10,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-2-bedroom-lowered-price/7145287859.html,0.0859109999999959,4.55328299999978
7145327509, (Salt Lake City),979,1,486,2020-06-20 11:44,"We Love Pets!, Bike Storage Available, 9-10 Feet Expansive Ceilings",40.688891,-111.89455,5,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-we-love-pets-bike/7145327509.html,0.0635170000000045,3.36640100000024
7145318015,,1107,2,1005,2020-06-20 11:31,"Easy Access to Little Cottonwood Canyon, Garages Available, Playground",40.6152,-111.8851,5,https://saltlakecity.craigslist.org/apa/d/midvale-easy-access-to-little/7145318015.html,0.0729670000000056,3.86725100000029
7145311793, (Salt Lake City),1319,2,1136,2020-06-20 11:22,Beautiful Open Floor Plan! Come Tour Today!,40.690069,-111.912811,5,https://saltlakecity.craigslist.org/apa/d/west-valley-city-beautiful-open-floor/7145311793.html,0.0452559999999949,2.39856799999973
7145311496,,1250,1,949,2020-06-20 11:22,Armstrong Apartment: 1-Bed|1-Bath!,40.5834,-111.7467,22,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-armstrong-apartment-1/7145311496.html,0.211366999999996,11.2024509999998
7145302746, (Salt Lake City),999,1,600,2020-06-20 11:10,Awesome 1 Bedroom Apartment / Washer and Dryer Included,40.79469,-111.939133,10,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-awesome-1-bedroom/7145302746.html,0.0189340000000016,1.00350200000008
7145302673,,1094,2,817,2020-06-20 11:10,"Playground, Professional & Responsive Management, Covered Parking",40.5144,-112.0325,22,https://saltlakecity.craigslist.org/apa/d/herriman-playground-professional/7145302673.html,-0.0744329999999991,-3.94494899999995
7145300547,,1124,1,716,2020-06-20 11:07,Remodel 1 Bed 1 Bath,40.5046,-111.881,22,https://saltlakecity.craigslist.org/apa/d/draper-remodel-1-bed-1-bath/7145300547.html,0.0770669999999996,4.08455099999998
7145278461, (Taylorsville),960,2,686,2020-06-20 11:07,"Modern Kitchens with Upgraded Appliances, Come See For Yourself Today!",40.666666,-111.933103,10,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-modern-kitchens-with/7145278461.html,0.0249639999999971,1.32309199999985
7136293448,,1599,2,1004,2020-06-20 11:01,Last Week 4 $99 Move Ins!!,40.761295,-111.876451,10,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-last-week-4-99-move-ins/7136293448.html,0.0816159999999968,4.32564799999983
7145290339,,989,1,576,2020-06-20 10:54,1 bed 1 bath available now! Apply today and $499 moves you in!,40.6596,-111.9193,22,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-1-bed-1-bath-available/7145290339.html,0.0387669999999929,2.05465099999962
7145287368, (Salt Lake City),1053,1,640,2020-06-20 10:50,"New month New Home, 1 bedroom 1 Bath ready for move in!!!!",40.733018,-111.93469,10,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-new-month-new-home-1/7145287368.html,0.0233769999999964,1.23898099999981
7145263261,,1107,2,1005,2020-06-20 10:44,"Smoke Free Community, Elevated 9 ft. Ceilings, Pet Friendly",40.6152,-111.8851,5,https://saltlakecity.craigslist.org/apa/d/midvale-smoke-free-community-elevated-9/7145263261.html,0.0729670000000056,3.86725100000029
7145262504, (Herriman),1250,2,1182,2020-06-20 10:43,Gorgeous 2 bedroom 2 bath.  Incredible amenities.,40.5144,-112.0325,22,https://saltlakecity.craigslist.org/apa/d/herriman-gorgeous-2-bedroom-2-bath/7145262504.html,-0.0744329999999991,-3.94494899999995
7145272601,,1148,1,859,2020-06-20 10:42,"Valet Trash, Large Closets, View, Storage Units Available, Recycling",40.6568,-111.8904,22,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-valet-trash-large/7145272601.html,0.0676670000000001,3.58635100000001
7145281107, (Sandy),1299,2,996,2020-06-20 10:41,"Luxury is built-in, not tacked on.",40.597876,-111.892291,10,https://saltlakecity.craigslist.org/apa/d/sandy-luxury-is-built-in-not-tacked-on/7145281107.html,0.0657759999999996,3.48612799999998
